taxon,lfc,se,W,p_value,q_value,diff_abundant,diff_robust,direction,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Superkingdom.1,best_taxon_label
252422.1,-0.0290604108537878,0.05089732577131493,-0.5709614486300942,0.5692342867125041,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,NA,Bacteria;;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila;NA,g__Bilophila
7451,0.08044436366102882,0.050780663590589165,1.584153454740143,0.12032083372156753,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,Bacteria;;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,g__Desulfovibrio
7451.1,-0.10425199505426207,0.050743796034308473,-2.0544776544461922,0.04460728469561917,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,Bacteria;;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;NA,g__Desulfovibrio
258109,-0.030902133756570506,0.05074120386132165,-0.6090145957322504,0.5442191075041609,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,Bacteria;;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA,f__Enterobacteriaceae
258109.1,0.015480790258645379,0.049135195781377136,0.31506519944533923,0.7531176110830651,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,Bacteria;;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;NA,f__Enterobacteriaceae
226706,0.024204257788224725,0.04821250971207841,0.502032728285061,0.616716027892448,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia_sp_Ag1,Bacteria;;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia_sp._Ag1,s__Serratia_sp_Ag1
16188,-0.004149408873143409,0.04972715201810585,-0.0834435254130901,0.9340353931458005,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,NA,Bacteria;;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA,o__Enterobacterales_unclassified
156414.1,0.008113426247024451,0.0506174074931565,0.16028924926906601,0.87337060405196,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,NA,Bacteria;;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;NA,g__Haemophilus
61324,0.0018865001219823556,0.049977380676131215,0.03774707870761487,0.9702635784145135,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA,Bacteria;;Proteobacteria;Gammaproteobacteria;NA;NA;NA,c__Gammaproteobacteria_unclassified
61324.1,-0.12233818611077556,0.050562225454384886,-2.4195569916348703,0.02314370679654508,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA,Bacteria;;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA,c__Gammaproteobacteria_unclassified
172945.1,-0.059870189173227874,0.04988643257520743,-1.20012969624495,0.2373285805070374,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,NA,Bacteria;;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;NA,g__Akkermansia
103181.1,0.11759213805991028,0.051791470403424904,2.270492363779926,0.024537642465273277,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,NA,NA,NA,NA,NA,NA,Bacteria;NA;NA;NA;NA;NA;NA;NA,taxon_103181.1
